DatasetID,FileName,PID,URL,タイトル,巻次,シリーズ,版表示,著者,出版者,出版年,出版年(W3CDTF),ISBN,冊数（ページ数・大きさ）,NDC分類,NDC分類（第８版）,NDC分類（第９版）,NDLC分類,件名（NDLSH）,公開範囲
1930,1451930.xml,1451930,https://dl.ndl.go.jp/info:ndljp/pid/1451930,高知市勢要覧,昭和１４年版,,,高知市 編,高知市,昭12至14,1939,,,351.84,,,,,インターネット公開（保護期間満了）
1930,1451998.xml,1451998,https://dl.ndl.go.jp/info:ndljp/pid/1451998,子供の研究と教育叢書,第１１,,,,刀江書院,昭和12,1937,,,371,,,,,インターネット公開（保護期間満了）
1930,1452269.xml,1452269,https://dl.ndl.go.jp/info:ndljp/pid/1452269,巣鴨高等商業学校一覧,第１０年度（昭和１２年４月至１３年３月）,,,巣鴨高等商業学校 編,巣鴨高等商業学校,昭和12,1937,,,377,,,,,インターネット公開（保護期間満了）
1930,1452669.xml,1452669,https://dl.ndl.go.jp/info:ndljp/pid/1452669,哈爾賓附近の戦闘に就て,,,,陸軍省調査班 [編],陸軍省調査班,昭和7,1932,,20p ; 19cm,393,,,,,インターネット公開（保護期間満了）
1930,1453292.xml,1453292,https://dl.ndl.go.jp/info:ndljp/pid/1453292,参考条文插入国民法規,第４輯 税制關係法（上編）,,,大日本法令普及会 編,大日本法令普及会,1931-1932,1932,,,320.91,,,,法令,インターネット公開（保護期間満了）
1930,1454407.xml,1454407,https://dl.ndl.go.jp/info:ndljp/pid/1454407,国家総動員法並に関係諸法令の解説 : 国家総動員号,,,,,台湾時報発行所,1938,1938,,340p ; 20cm,391.4,,,AZ-427,国家総動員,インターネット公開（保護期間満了）
1930,1455702.xml,1455702,https://dl.ndl.go.jp/info:ndljp/pid/1455702,岡山県信用組合聯合会ト岡山県購買販売組合聯合会トノ合併問題ニ対スル主張,,,,,岡山県信用組合有志会,昭和11,1936,,7p ; 23cm,335.6,,,,,インターネット公開（保護期間満了）
1930,1456181.xml,1456181,https://dl.ndl.go.jp/info:ndljp/pid/1456181,公衆作法に関する改善要項・外国人に対する作法,,,,生活改善中央会 編,生活改善中央会,昭和12,1937,,22p ; 19cm,387,,,,,インターネット公開（保護期間満了）
1930,1456189.xml,1456189,https://dl.ndl.go.jp/info:ndljp/pid/1456189,国際情勢と海軍軍縮会議,,神道護国聯盟叢書 ; 第10輯,,神道護国聯盟 編,神道護国聯盟,昭和10,1935,,58p ; 19cm,391,,,,,インターネット公開（保護期間満了）
1930,1457669.xml,1457669,https://dl.ndl.go.jp/info:ndljp/pid/1457669,国語 : 学習指導の研究,巻2 第1冊(1-10),,改訂版,岩波編輯部 編,岩波書店,[昭和13],1938,,120p ; 23cm,375.8,,,,,インターネット公開（保護期間満了）
1930,1457948.xml,1457948,https://dl.ndl.go.jp/info:ndljp/pid/1457948,低利率・二期払債券現価表,,,,,日興証券,昭和10,1935,,77p ; 8×14cm,338,,,,,インターネット公開（保護期間満了）
1930,1457971.xml,1457971,https://dl.ndl.go.jp/info:ndljp/pid/1457971,最新憲兵須知 : 附・試験問題答案,,,3版,武揚社出版部 編,武揚社出版部,昭和8,1933,,1冊 ; 15cm,391,,,,,インターネット公開（保護期間満了）
